=== DriveTrainKsTuner Started ===
Power Increment: 0.005
Max Power: 0.5
Linear Velocity Threshold: 5.0 ticks/sec
Angular Velocity Threshold: 1.0 deg/sec
Trials Per Power: 3

Rotational Test - Power: 0.0800, Trial: 2, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0800, Trial: 3, Angular Velocity: 0.00 deg/sec, Rotated: false
Linear Test - Power: 0.0850, Trial: 1, Velocity: 1.49 ticks/sec, Moved: false
Linear Test - Power: 0.0850, Trial: 2, Velocity: 6.44 ticks/sec, Moved: true
Linear Test - Power: 0.0850, Trial: 3, Velocity: 0.50 ticks/sec, Moved: false
Rotational Test - Power: 0.0850, Trial: 1, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0850, Trial: 2, Angular Velocity: 0.00 deg/sec, Rotated: false
Rotational Test - Power: 0.0850, Trial: 3, Angular Velocity: 0.00 deg/sec, Rotated: false
Linear Test - Power: 0.0900, Trial: 1, Velocity: 1.49 ticks/sec, Moved: false
Linear Test - Power: 0.0900, Trial: 2, Velocity: 1.98 ticks/sec, Moved: false
Linear Test - Power: 0.0900, Trial: 3, Velocity: 12.88 ticks/sec, Moved: true
Rotational Test - Power: 0.0900, Trial: 1, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0900, Trial: 2, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0900, Trial: 3, Angular Velocity: 0.00 deg/sec, Rotated: false
Linear Test - Power: 0.0950, Trial: 1, Velocity: 12.38 ticks/sec, Moved: true
Linear Test - Power: 0.0950, Trial: 2, Velocity: 1.99 ticks/sec, Moved: false
Linear Test - Power: 0.0950, Trial: 3, Velocity: 1.98 ticks/sec, Moved: false
Rotational Test - Power: 0.0950, Trial: 1, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0950, Trial: 2, Angular Velocity: 0.02 deg/sec, Rotated: false
Rotational Test - Power: 0.0950, Trial: 3, Angular Velocity: 0.01 deg/sec, Rotated: false
Linear Test - Power: 0.1000, Trial: 1, Velocity: 777.75 ticks/sec, Moved: true
Linear Test - Power: 0.1000, Trial: 2, Velocity: 991.34 ticks/sec, Moved: true
Linear Test - Power: 0.1000, Trial: 3, Velocity: 1015.76 ticks/sec, Moved: true
Rotational Test - Power: 0.1000, Trial: 1, Angular Velocity: 1.42 deg/sec, Rotated: true
Rotational Test - Power: 0.1000, Trial: 2, Angular Velocity: 0.05 deg/sec, Rotated: false
Rotational Test - Power: 0.1000, Trial: 3, Angular Velocity: 0.06 deg/sec, Rotated: false
Linear Test - Power: 0.1050, Trial: 1, Velocity: 901.64 ticks/sec, Moved: true
Linear Test - Power: 0.1050, Trial: 2, Velocity: 983.48 ticks/sec, Moved: true
Linear Test - Power: 0.1050, Trial: 3, Velocity: 1043.38 ticks/sec, Moved: true
Rotational Test - Power: 0.1050, Trial: 1, Angular Velocity: 0.65 deg/sec, Rotated: false
Rotational Test - Power: 0.1050, Trial: 2, Angular Velocity: 2.06 deg/sec, Rotated: true
Rotational Test - Power: 0.1050, Trial: 3, Angular Velocity: 0.40 deg/sec, Rotated: false
Linear Test - Power: 0.1100, Trial: 1, Velocity: 985.01 ticks/sec, Moved: true
Linear Test - Power: 0.1100, Trial: 2, Velocity: 1089.50 ticks/sec, Moved: true
Linear Test - Power: 0.1100, Trial: 3, Velocity: 1055.54 ticks/sec, Moved: true
Rotational Test - Power: 0.1100, Trial: 1, Angular Velocity: 2.48 deg/sec, Rotated: true
Rotational Test - Power: 0.1100, Trial: 2, Angular Velocity: 3.92 deg/sec, Rotated: true
Rotational Test - Power: 0.1100, Trial: 3, Angular Velocity: 0.58 deg/sec, Rotated: false
Linear Test - Power: 0.1150, Trial: 1, Velocity: 1066.68 ticks/sec, Moved: true
Linear Test - Power: 0.1150, Trial: 2, Velocity: 1037.02 ticks/sec, Moved: true
Linear Test - Power: 0.1150, Trial: 3, Velocity: 1019.80 ticks/sec, Moved: true
Rotational Test - Power: 0.1150, Trial: 1, Angular Velocity: 1.14 deg/sec, Rotated: true
Rotational Test - Power: 0.1150, Trial: 2, Angular Velocity: 0.45 deg/sec, Rotated: false
Rotational Test - Power: 0.1150, Trial: 3, Angular Velocity: 2.52 deg/sec, Rotated: true
Linear Test - Power: 0.1200, Trial: 1, Velocity: 1330.81 ticks/sec, Moved: true
Linear Test - Power: 0.1200, Trial: 2, Velocity: 1409.88 ticks/sec, Moved: true
Linear Test - Power: 0.1200, Trial: 3, Velocity: 1355.70 ticks/sec, Moved: true
Rotational Test - Power: 0.1200, Trial: 1, Angular Velocity: 7.34 deg/sec, Rotated: true
Rotational Test - Power: 0.1200, Trial: 2, Angular Velocity: 9.73 deg/sec, Rotated: true
Rotational Test - Power: 0.1200, Trial: 3, Angular Velocity: 8.39 deg/sec, Rotated: true
Linear Test - Power: 0.1250, Trial: 1, Velocity: 1292.29 ticks/sec, Moved: true
Linear Test - Power: 0.1250, Trial: 2, Velocity: 1373.62 ticks/sec, Moved: true
Linear Test - Power: 0.1250, Trial: 3, Velocity: 1393.41 ticks/sec, Moved: true
Rotational Test - Power: 0.1250, Trial: 1, Angular Velocity: 4.48 deg/sec, Rotated: true
Rotational Test - Power: 0.1250, Trial: 2, Angular Velocity: 6.38 deg/sec, Rotated: true
Rotational Test - Power: 0.1250, Trial: 3, Angular Velocity: 8.68 deg/sec, Rotated: true
Linear Test - Power: 0.1300, Trial: 1, Velocity: 1371.38 ticks/sec, Moved: true
Linear Test - Power: 0.1300, Trial: 2, Velocity: 1279.91 ticks/sec, Moved: true
Linear Test - Power: 0.1300, Trial: 3, Velocity: 0.00 ticks/sec, Moved: false

=== FINAL RESULTS ===
Minimum Linear Power (kS forward/backward): 0.0050
Minimum Rotational Power (kS theta): 0.1000

Linear valid powers: 24 trials succeeded
Rotational valid powers: 12 trials succeeded

=== OpMode Complete ===
